accession,genename,GOIDs,localizations,organism,type
D3ZC87,Maff,GO:0000978; GO:0001701; GO:0003700; GO:0005634; GO:0005739; GO:0035914; GO:0043565; GO:0045604; GO:0045944,Nucleus,Rattus norvegicus (Rat),Background Only
A0A0H2UHN2,Idi1,GO:0004452; GO:0005777; GO:0008299; GO:0016787,,Rattus norvegicus (Rat),Background Only
O35760,Idi1,GO:0004452; GO:0005777; GO:0006695; GO:0009240; GO:0016787; GO:0046872; GO:0050992,Peroxisome,Rattus norvegicus (Rat),Background Only
B1H230,Map2k3,GO:0000187; GO:0001934; GO:0002931; GO:0004674; GO:0004708; GO:0005524; GO:0005737; GO:0005829; GO:0007507; GO:0023014; GO:0031098; GO:0032147; GO:0051770; GO:0071222; GO:0072709,,Rattus norvegicus (Rat),Background Only
Q498S1,Map2k3,GO:0000187; GO:0001934; GO:0002931; GO:0004674; GO:0004708; GO:0005524; GO:0005737; GO:0005829; GO:0007507; GO:0023014; GO:0031098; GO:0032147; GO:0051770; GO:0071222; GO:0072709,,Rattus norvegicus (Rat),Background Only
D3ZHH8,Srf,GO:0000790; GO:0001228; GO:0001569; GO:0001666; GO:0001707; GO:0001764; GO:0001829; GO:0001947; GO:0002011; GO:0002042; GO:0003257; GO:0005634; GO:0005737; GO:0007160; GO:0007275; GO:0007616; GO:0008134; GO:0008285; GO:0008306; GO:0009725; GO:0010669; GO:0010735; GO:0010736; GO:0021766; GO:0022028; GO:0030155; GO:0030168; GO:0030220; GO:0030336; GO:0030878; GO:0031175; GO:0031490; GO:0033561; GO:0034097; GO:0035855; GO:0035912; GO:0042789; GO:0042803; GO:0042826; GO:0043149; GO:0043565; GO:0043589; GO:0044212; GO:0045059; GO:0045214; GO:0045773; GO:0045893; GO:0045987; GO:0046016; GO:0046716; GO:0048538; GO:0048589; GO:0048821; GO:0051091; GO:0051491; GO:0055003; GO:0060218; GO:0060261; GO:0060292; GO:0060324; GO:0060347; GO:0060425; GO:0060532; GO:0060534; GO:0060947; GO:0061029; GO:0061145; GO:0061629; GO:0070830; GO:0070878; GO:0071333; GO:0090009; GO:0090136; GO:0090398; GO:1900222; GO:1902894; GO:1902895,Nucleus,Rattus norvegicus (Rat),Background Only
A0A0G2JST8,Stk40,GO:0003016; GO:0004672; GO:0005524; GO:0005654; GO:0005829; GO:0005977; GO:0010468; GO:0035264; GO:0043066; GO:0043408; GO:0048286; GO:0060425,,Rattus norvegicus (Rat),Background Only
Q7TNL4,Stk40,GO:0004674; GO:0005524; GO:0005634; GO:0005737,Nucleus; Cytoplasm,Rattus norvegicus (Rat),Background Only
P51639,Hmgcr,GO:0004420; GO:0005778; GO:0005789; GO:0006695; GO:0006743; GO:0007568; GO:0007584; GO:0008284; GO:0008299; GO:0008542; GO:0010142; GO:0010664; GO:0010666; GO:0015936; GO:0016021; GO:0016126; GO:0032874; GO:0042177; GO:0042282; GO:0042803; GO:0043066; GO:0043231; GO:0043407; GO:0045445; GO:0045471; GO:0048643; GO:0048661; GO:0051262; GO:0051721; GO:0061045; GO:0061179; GO:0070374; GO:0070402; GO:0097756; GO:1900222,Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
D4ADT9,Hes1,GO:0001227; GO:0001889; GO:0003143; GO:0003266; GO:0005634; GO:0005737; GO:0007155; GO:0007219; GO:0007224; GO:0016477; GO:0021537; GO:0021555; GO:0021557; GO:0021558; GO:0021575; GO:0021984; GO:0030324; GO:0030513; GO:0030901; GO:0031016; GO:0035019; GO:0035910; GO:0042102; GO:0042531; GO:0042803; GO:0042826; GO:0043388; GO:0045598; GO:0045608; GO:0045747; GO:0045944; GO:0045977; GO:0046331; GO:0048469; GO:0048538; GO:0048667; GO:0048711; GO:0048715; GO:0050678; GO:0051087; GO:0060122; GO:0060164; GO:0060253; GO:0060412; GO:0060675; GO:0060716; GO:0061009; GO:0061106; GO:0061309; GO:0061626; GO:0065003; GO:0071820; GO:0072012; GO:0072049; GO:0072050; GO:0072141; GO:0072282; GO:0090102; GO:0090162; GO:0097084; GO:0097150; GO:1905934; GO:2000227; GO:2000737; GO:2000974,Nucleus,Rattus norvegicus (Rat),Background Only
F7J211,Hes1,,,Rattus norvegicus (Rat),Background Only
Q04666,Hes1,GO:0000122; GO:0000785; GO:0000977; GO:0001227; GO:0003677; GO:0003682; GO:0005634; GO:0005654; GO:0007219; GO:0008134; GO:0008432; GO:0009952; GO:0010628; GO:0010629; GO:0010977; GO:0014070; GO:0016363; GO:0021861; GO:0030154; GO:0030182; GO:0035315; GO:0042531; GO:0042803; GO:0043279; GO:0043388; GO:0043497; GO:0043565; GO:0044877; GO:0045665; GO:0045687; GO:0045892; GO:0046425; GO:0046427; GO:0048711; GO:0048715; GO:0050767; GO:0050768; GO:0060253; GO:0065003; GO:0070888; GO:0071347; GO:0071356; GO:0071398; GO:0071820; GO:0090281; GO:0097066; GO:0097150; GO:1990090; GO:2000974; GO:2000978,Nucleus,Rattus norvegicus (Rat),Background Only
O35780,Bhlhe40,GO:0000122; GO:0000977; GO:0001227; GO:0003714; GO:0005634; GO:0005737; GO:0007399; GO:0007623; GO:0009416; GO:0009952; GO:0030154; GO:0032922; GO:0042752; GO:0045892; GO:0046983; GO:0048168; GO:0050767; GO:0070888,Cytoplasm; Nucleus,Rattus norvegicus (Rat),Background Only
Q76JQ4,Bhlhe40,GO:0000980; GO:0001102; GO:0001227; GO:0003714; GO:0016604; GO:0019904; GO:0032922; GO:0042803; GO:0043153; GO:0043426; GO:0043433; GO:0046982; GO:0070888,Nucleus,Rattus norvegicus (Rat),Background Only
D4A7U1,Zyx,GO:0001725; GO:0005634; GO:0005737; GO:0005829; GO:0005913; GO:0005925; GO:0007160; GO:0007165; GO:0007179; GO:0007229; GO:0043149; GO:0045335; GO:0046872; GO:0050727; GO:0071346,,Rattus norvegicus (Rat),Background Only
Q923V7,Klf4,GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001010; GO:0001085; GO:0001221; GO:0001228; GO:0003690; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0005719; GO:0005737; GO:0006357; GO:0008013; GO:0009913; GO:0014067; GO:0014740; GO:0019827; GO:0031077; GO:0032088; GO:0032270; GO:0034115; GO:0035014; GO:0035166; GO:0042826; GO:0043154; GO:0043565; GO:0044212; GO:0044798; GO:0045415; GO:0045429; GO:0045444; GO:0045892; GO:0045944; GO:0046985; GO:0048662; GO:0048679; GO:0048730; GO:0051898; GO:0051973; GO:0060070; GO:0060761; GO:0061614; GO:0070301; GO:0070373; GO:0071300; GO:0071363; GO:0071407; GO:0071409; GO:0071499; GO:0090051; GO:1901653; GO:1903672; GO:1904798; GO:1904998; GO:1990830; GO:1990841; GO:2000134; GO:2000342,,Rattus norvegicus (Rat),Background Only
G3V8W4,Bmp2,GO:0000122; GO:0000187; GO:0001649; GO:0001658; GO:0001666; GO:0001701; GO:0001837; GO:0001938; GO:0002062; GO:0003130; GO:0003181; GO:0003203; GO:0003308; GO:0004745; GO:0005615; GO:0006029; GO:0006954; GO:0007219; GO:0008083; GO:0008285; GO:0009617; GO:0009986; GO:0010718; GO:0010862; GO:0010922; GO:0019211; GO:0021978; GO:0030335; GO:0030501; GO:0030509; GO:0031648; GO:0032092; GO:0032348; GO:0033690; GO:0035054; GO:0035630; GO:0039706; GO:0042475; GO:0042482; GO:0042487; GO:0043065; GO:0043231; GO:0043569; GO:0045165; GO:0045600; GO:0045666; GO:0045669; GO:0045786; GO:0045892; GO:0045944; GO:0046332; GO:0046982; GO:0048711; GO:0048762; GO:0048839; GO:0051042; GO:0055007; GO:0055008; GO:0060039; GO:0060128; GO:0060129; GO:0060317; GO:0060389; GO:0060395; GO:0060804; GO:0061036; GO:0070374; GO:0070700; GO:0070724; GO:0071407; GO:0072138; GO:0090090; GO:1900745; GO:1901522; GO:1902895; GO:2000065; GO:2000726,Secreted,Rattus norvegicus (Rat),Background Only
P49001,Bmp2,GO:0000122; GO:0001503; GO:0005125; GO:0005160; GO:0005615; GO:0005737; GO:0008083; GO:0009612; GO:0010862; GO:0019904; GO:0030509; GO:0031982; GO:0032526; GO:0032991; GO:0042698; GO:0042803; GO:0042981; GO:0043408; GO:0045944; GO:0048468; GO:0048762; GO:0050769; GO:0051216; GO:0060395; GO:0070700; GO:0071260; GO:0071773,Secreted,Rattus norvegicus (Rat),Background Only
D3ZPF0,Fhl3,GO:0001725; GO:0003779; GO:0005634; GO:0030018; GO:0030036; GO:0046872,,Rattus norvegicus (Rat),Background Only
D4A978,Plcd3,GO:0001525; GO:0004435; GO:0005829; GO:0016020; GO:0016042; GO:0032959; GO:0035556; GO:0042127; GO:0060716,,Rattus norvegicus (Rat),Background Only
A0A0G2JSW8,Coq10b,,,Rattus norvegicus (Rat),Background Only
Q5I0I9,Coq10b,GO:0005739; GO:0005743; GO:0006744; GO:0045333; GO:0048039,Mitochondrion inner membrane,Rattus norvegicus (Rat),Background Only
Q5U2P3,Zfand2a,GO:0000502; GO:0005634; GO:0005737; GO:0008270; GO:0032436; GO:0071243,Cytoplasm; Nucleus,Rattus norvegicus (Rat),Background Only
A0A0G2JW78,Rara,GO:0000122; GO:0000790; GO:0000900; GO:0000976; GO:0000977; GO:0000981; GO:0001657; GO:0001843; GO:0001889; GO:0001972; GO:0002068; GO:0003148; GO:0003417; GO:0003707; GO:0003714; GO:0004879; GO:0005102; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0007275; GO:0007281; GO:0007283; GO:0007565; GO:0008134; GO:0008144; GO:0008270; GO:0008284; GO:0008285; GO:0008584; GO:0009755; GO:0015629; GO:0017148; GO:0019904; GO:0021766; GO:0030154; GO:0030374; GO:0030425; GO:0030850; GO:0030853; GO:0031076; GO:0031490; GO:0031641; GO:0032355; GO:0032526; GO:0032689; GO:0032720; GO:0032736; GO:0032753; GO:0032754; GO:0033189; GO:0033993; GO:0034097; GO:0035264; GO:0038023; GO:0042826; GO:0042981; GO:0043005; GO:0043066; GO:0043277; GO:0043422; GO:0044323; GO:0045471; GO:0045630; GO:0045666; GO:0045787; GO:0045944; GO:0046982; GO:0048027; GO:0048167; GO:0048384; GO:0048471; GO:0048732; GO:0051018; GO:0051099; GO:0051393; GO:0055012; GO:0060010; GO:0060173; GO:0060324; GO:0060349; GO:0060429; GO:0060534; GO:0060591; GO:0061037; GO:0071222; GO:0071300; GO:0071391; GO:0090575,Nucleus,Rattus norvegicus (Rat),Background Only
Q499N1,Rara,GO:0000122; GO:0000900; GO:0000976; GO:0000977; GO:0000981; GO:0001889; GO:0003707; GO:0004879; GO:0005634; GO:0005737; GO:0007275; GO:0007565; GO:0008134; GO:0008144; GO:0008270; GO:0008285; GO:0008584; GO:0009755; GO:0014068; GO:0017148; GO:0021766; GO:0030154; GO:0030374; GO:0030425; GO:0030850; GO:0031641; GO:0032355; GO:0032526; GO:0033189; GO:0033993; GO:0034097; GO:0035014; GO:0038023; GO:0042826; GO:0042981; GO:0043005; GO:0045471; GO:0045666; GO:0045944; GO:0048027; GO:0048167; GO:0048384; GO:0048471; GO:0048732; GO:0051897; GO:0060349; GO:0060429; GO:0070374; GO:0071300; GO:0090575,Nucleus,Rattus norvegicus (Rat),Background Only
Q5FVG9,Rnd1,GO:0003924; GO:0005102; GO:0005525; GO:0005737; GO:0005886; GO:0005912; GO:0005938; GO:0007015; GO:0007162; GO:0007266; GO:0008360; GO:0015629; GO:0016322; GO:0019901; GO:0030334; GO:0030950; GO:0032153; GO:0032956; GO:0043231; GO:0051017,,Rattus norvegicus (Rat),Background Only
Q5XIP1,Pelo,GO:0001833; GO:0004519; GO:0005634; GO:0005737; GO:0007049; GO:0007492; GO:0019827; GO:0030513; GO:0032790; GO:0043022; GO:0046872; GO:0051276; GO:0051301; GO:0060231; GO:0070481; GO:0070651; GO:0070966; GO:0071025,Nucleus; Cytoplasm,Rattus norvegicus (Rat),Background Only
P48317,Gadd45a,GO:0000086; GO:0000185; GO:0005634; GO:0005737; GO:0006974; GO:0007050; GO:0051726,Nucleus,Rattus norvegicus (Rat),Background Only
Q66HL6,Gadd45a,GO:0000185; GO:0000979; GO:0005737; GO:0006469; GO:0007098; GO:0016607; GO:0019900; GO:0042770; GO:0042803; GO:0043065; GO:0046330; GO:0046982; GO:0047485; GO:0071260; GO:0071479; GO:0071850; GO:1900745; GO:2000379,,Rattus norvegicus (Rat),Background Only
Q0VGK8,Cdc42ep3,GO:0005737; GO:0005886; GO:0007266; GO:0008360; GO:0015629; GO:0017049; GO:0030838; GO:0031274,,Rattus norvegicus (Rat),Background Only
P27881,Hk2,GO:0001666; GO:0001678; GO:0002931; GO:0004340; GO:0004396; GO:0005524; GO:0005536; GO:0005739; GO:0005741; GO:0005829; GO:0005886; GO:0006007; GO:0006096; GO:0007595; GO:0008637; GO:0008865; GO:0016529; GO:0019158; GO:0035795; GO:0045766; GO:0046324; GO:0046835; GO:0072655; GO:0072656; GO:1904925; GO:1990830; GO:2000378,Mitochondrion outer membrane; Cytoplasm; Cytosol,Rattus norvegicus (Rat),Background Only
G3V7Z9,Egr4,GO:0043565; GO:0045944,,Rattus norvegicus (Rat),Background Only
Q00911,Egr4,GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0045944; GO:0046872; GO:0071363,Nucleus,Rattus norvegicus (Rat),Background Only
B3DM86,Srxn1,GO:0005524; GO:0032542,,Rattus norvegicus (Rat),Background Only
D4A2G7,Eaf1,GO:0006355; GO:0016604; GO:0032783; GO:0045171,,Rattus norvegicus (Rat),Background Only
A0A0G2QC65,Arl5b,GO:0005525; GO:0005737; GO:0005802; GO:0006886; GO:0016192; GO:1903292,,Rattus norvegicus (Rat),Background Only
G3V9B1,Arl5b,GO:0005525; GO:0005737; GO:0005802; GO:0006886; GO:0016192; GO:1903292,,Rattus norvegicus (Rat),Background Only
D4A9N5,Trim25,GO:0005829; GO:0006513; GO:0008270; GO:0016604; GO:0030433; GO:0033280; GO:0043123; GO:0043627; GO:0045087; GO:0046597; GO:0051092; GO:0061630; GO:1902187; GO:1990830,,Rattus norvegicus (Rat),Background Only
Q6P7B3,Trim25,GO:0008270; GO:0033280; GO:0043627,,Rattus norvegicus (Rat),Background Only
O35532,Msmo1,GO:0000254; GO:0005506; GO:0005789; GO:0016021; GO:0016126,Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
Q2WFZ6,Cdkn1a,GO:0016301,,Rattus norvegicus (Rat),Background Only
Q64315,Cdkn1a,GO:0000082; GO:0000086; GO:0000307; GO:0004861; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0006606; GO:0006977; GO:0006978; GO:0007265; GO:0007507; GO:0009636; GO:0010033; GO:0010165; GO:0010243; GO:0010629; GO:0010942; GO:0014070; GO:0016604; GO:0019901; GO:0019912; GO:0030308; GO:0030332; GO:0030890; GO:0031100; GO:0031625; GO:0034198; GO:0034605; GO:0042246; GO:0042493; GO:0042771; GO:0043066; GO:0043068; GO:0044877; GO:0046685; GO:0048146; GO:0048471; GO:0051384; GO:0051412; GO:0055093; GO:0060574; GO:0070557; GO:0071480; GO:0071493; GO:0071850; GO:0090398; GO:0090399; GO:1904706; GO:1905179; GO:2000278; GO:2000379,,Rattus norvegicus (Rat),Background Only
A0A0G2K2S2,Slc2a1,GO:0005355; GO:0016021,,Rattus norvegicus (Rat),Background Only
P11167,Slc2a1,GO:0001666; GO:0001939; GO:0005355; GO:0005737; GO:0005829; GO:0005886; GO:0005887; GO:0005901; GO:0005911; GO:0006970; GO:0007565; GO:0014704; GO:0016323; GO:0016324; GO:0019900; GO:0021987; GO:0030018; GO:0030496; GO:0030864; GO:0031982; GO:0032868; GO:0033300; GO:0042149; GO:0042383; GO:0042802; GO:0042908; GO:0042910; GO:0043621; GO:0055056; GO:0065003; GO:0070837; GO:0071260; GO:0071474; GO:1904016; GO:1904659,Cell membrane,Rattus norvegicus (Rat),Background Only
D3ZUE4,Socs5,GO:0005154; GO:0005942; GO:0007173; GO:0007175; GO:0007259; GO:0016567; GO:0019221; GO:0030971; GO:0032436; GO:0032715; GO:0035556; GO:0045627; GO:0045629; GO:0046854; GO:0046935; GO:0050728; GO:0071404; GO:0071638; GO:0097699,,Rattus norvegicus (Rat),Background Only
P17425,Hmgcs1,GO:0001889; GO:0004421; GO:0005829; GO:0006084; GO:0006695; GO:0007420; GO:0008144; GO:0008584; GO:0009645; GO:0009725; GO:0010033; GO:0010142; GO:0014070; GO:0014074; GO:0016853; GO:0033197; GO:0034698; GO:0042493; GO:0042803; GO:0043177; GO:0046690; GO:0070723; GO:0071372; GO:0071397; GO:0071404; GO:0071407,Cytoplasm,Rattus norvegicus (Rat),Background Only
D3ZRK0,Fam83h,GO:0019901; GO:0030335; GO:0044380; GO:0045095; GO:0045104; GO:1990254,,Rattus norvegicus (Rat),Background Only
Q9EQS5,Sc5d,GO:0000248; GO:0005506; GO:0005789; GO:0006631; GO:0016021; GO:0016126; GO:0033490; GO:0043231; GO:0050046,Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
Q6GMN2,Baiap2,GO:0001221; GO:0001726; GO:0005654; GO:0005791; GO:0005794; GO:0005829; GO:0005874; GO:0005886; GO:0007009; GO:0007420; GO:0008093; GO:0008360; GO:0009617; GO:0010976; GO:0014069; GO:0015629; GO:0016358; GO:0030141; GO:0030165; GO:0030175; GO:0030182; GO:0030838; GO:0032956; GO:0035418; GO:0042802; GO:0043025; GO:0043197; GO:0043198; GO:0044306; GO:0048167; GO:0051017; GO:0051764; GO:0060076; GO:0061003; GO:0061845; GO:0061846; GO:0070064; GO:0071364; GO:0097060; GO:0097110; GO:0098685; GO:0098793; GO:0098794; GO:0098978; GO:0099092; GO:0099523; GO:0099524; GO:0099564; GO:1905232; GO:1905274; GO:2000251; GO:2000463,Cytoplasm; Membrane; Cell projection; Filopodium; Ruffle; Cytoskeleton,Rattus norvegicus (Rat),Background Only
A0A0G2JSU9,Tnfrsf1a,GO:0000139; GO:0003176; GO:0003177; GO:0003332; GO:0005031; GO:0005615; GO:0006693; GO:0006954; GO:0008630; GO:0009986; GO:0010614; GO:0016021; GO:0042531; GO:0042742; GO:0043120; GO:0043123; GO:0043235; GO:0045121; GO:0045944; GO:0050728; GO:0050729; GO:0071260; GO:0072659; GO:1902339; GO:1903140,,Rattus norvegicus (Rat),Background Only
P22934,Tnfrsf1a,GO:0000139; GO:0001666; GO:0002020; GO:0005031; GO:0005615; GO:0005634; GO:0005739; GO:0005829; GO:0005886; GO:0006693; GO:0006915; GO:0006952; GO:0006954; GO:0007166; GO:0009611; GO:0009986; GO:0010628; GO:0010629; GO:0016021; GO:0019221; GO:0030424; GO:0032496; GO:0032715; GO:0032760; GO:0032991; GO:0033209; GO:0042981; GO:0043066; GO:0043120; GO:0043200; GO:0043235; GO:0043279; GO:0043525; GO:0044877; GO:0045121; GO:0045202; GO:0045471; GO:0045766; GO:0045944; GO:0050729; GO:0051291; GO:0071392,Cell membrane; Golgi apparatus membrane,Rattus norvegicus (Rat),Background Only
Q9Z1P3,Mcl1,GO:0005654; GO:0005741; GO:0005829; GO:0007275; GO:0008630; GO:0016020; GO:0016021; GO:0030154; GO:0042803; GO:0043066; GO:0046982; GO:0046983; GO:0051400; GO:0097192; GO:2001243,Membrane; Cytoplasm; Mitochondrion; Nucleus; Nucleoplasm,Rattus norvegicus (Rat),Background Only
Q63244,Foxq1,GO:0000981; GO:0005634; GO:0006357; GO:0009653; GO:0030154; GO:0043565,Nucleus,Rattus norvegicus (Rat),Background Only
B2RYK3,Spr,GO:0004757; GO:0006729,,Rattus norvegicus (Rat),Background Only
P18297,Spr,GO:0004757; GO:0005737; GO:0006729; GO:0010033,Cytoplasm,Rattus norvegicus (Rat),Background Only
Q63532,Sprr1a,GO:0001533; GO:0005198; GO:0005737; GO:0018149; GO:0030216; GO:0031424,Cytoplasm,Rattus norvegicus (Rat),Background Only
Q9QYN5,Bcl10,GO:0001772; GO:0001783; GO:0001843; GO:0002020; GO:0002224; GO:0002237; GO:0002250; GO:0002906; GO:0003713; GO:0005634; GO:0005737; GO:0005764; GO:0005829; GO:0005881; GO:0006968; GO:0007249; GO:0008022; GO:0008134; GO:0008219; GO:0009620; GO:0016064; GO:0019209; GO:0019900; GO:0019901; GO:0031398; GO:0031625; GO:0031663; GO:0032094; GO:0032449; GO:0032991; GO:0042327; GO:0042802; GO:0043065; GO:0043123; GO:0043280; GO:0043422; GO:0043621; GO:0045087; GO:0045121; GO:0045416; GO:0045893; GO:0048471; GO:0050700; GO:0050852; GO:0050856; GO:0050870; GO:0051059; GO:0051092; GO:0051259; GO:0051260; GO:0051291; GO:0070231; GO:0071260; GO:2001238,Cytoplasm; Membrane raft,Rattus norvegicus (Rat),Background Only
G3V880,Klf6,GO:0003676,,Rattus norvegicus (Rat),Background Only
O35819,Klf6,GO:0000981; GO:0003690; GO:0003700; GO:0005634; GO:0006357; GO:0019221; GO:0042060; GO:0045944; GO:0046872; GO:0070301; GO:0071407; GO:0071409; GO:1901653,Nucleus,Rattus norvegicus (Rat),Background Only
D3ZHK9,Zfp36l2,GO:0003730; GO:0005829; GO:0046872; GO:0061158,,Rattus norvegicus (Rat),Background Only
Q5U2U8,Bag3,GO:0000045; GO:0000774; GO:0001725; GO:0005634; GO:0005829; GO:0005886; GO:0007420; GO:0008625; GO:0010664; GO:0021510; GO:0030018; GO:0034605; GO:0034620; GO:0042307; GO:0043005; GO:0043066; GO:0044877; GO:0046716; GO:0046827; GO:0050821; GO:0051087; GO:0061684; GO:0071260; GO:0097192; GO:0097201; GO:0101031; GO:1903215; GO:1905337,,Rattus norvegicus (Rat),Background Only
B1WBX9,Cish,GO:0005886; GO:0007205; GO:0016567; GO:0035556,,Rattus norvegicus (Rat),Background Only
O70512,Cish,GO:0005942; GO:0016567; GO:0019221; GO:0035556; GO:0040008; GO:0046627; GO:0046854; GO:0046935,,Rattus norvegicus (Rat),Background Only
D4A579,Zbtb7b,GO:0000122; GO:0000978; GO:0001158; GO:0001228; GO:0001865; GO:0005634; GO:0005654; GO:0007595; GO:0010628; GO:0031065; GO:0032868; GO:0042803; GO:0042826; GO:0043372; GO:0043377; GO:0046628; GO:0051141; GO:0060850; GO:0072615; GO:0090336; GO:0120162; GO:1990845; GO:2000320; GO:2000640,,Rattus norvegicus (Rat),Background Only
P52020,Sqle,GO:0004506; GO:0005783; GO:0005789; GO:0006725; GO:0008203; GO:0010033; GO:0016021; GO:0016126; GO:0042127; GO:0043231; GO:0071949; GO:0140042,Microsome membrane; Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
G3V9V2,Elf1,GO:0000978; GO:0000981; GO:0001228; GO:0001817; GO:0005634; GO:0006355; GO:0006357; GO:0030154; GO:0050860,Nucleus,Rattus norvegicus (Rat),Background Only
Q9EQY1,Elf1,GO:0000981; GO:0005634; GO:0006355; GO:0006357; GO:0030154; GO:0043565,Nucleus,Rattus norvegicus (Rat),Background Only
Q9EQY2,Elf1,GO:0000981; GO:0005634; GO:0006355; GO:0006357; GO:0030154; GO:0043565,Nucleus,Rattus norvegicus (Rat),Background Only
Q9EQY3,Elf1,GO:0000981; GO:0003700; GO:0005634; GO:0006355; GO:0006357; GO:0030154; GO:0043565; GO:0045944,Nucleus,Rattus norvegicus (Rat),Background Only
D4A2F2,Pard6b,GO:0005080; GO:0005634; GO:0005829; GO:0005923; GO:0005938; GO:0007043; GO:0007098; GO:0007163; GO:0016324; GO:0017048; GO:0032991; GO:0060341; GO:0065003,,Rattus norvegicus (Rat),Background Only
B1H229,Smox,GO:0016491; GO:0046208; GO:0046592,,Rattus norvegicus (Rat),Background Only
B1WBU6,Smox,GO:0005654; GO:0016491; GO:0031965; GO:0046208; GO:0046592,,Rattus norvegicus (Rat),Background Only
A0A0G2K6U7,Nfkbiz,GO:0005634; GO:0006954; GO:0016607; GO:0036464; GO:0050729; GO:0050852; GO:2000321,,Rattus norvegicus (Rat),Background Only
D4A1S9,Nfkbiz,GO:0005634,,Rattus norvegicus (Rat),Background Only
P22273,Il6r,GO:0002827; GO:0004896; GO:0005143; GO:0005615; GO:0005896; GO:0008083; GO:0008284; GO:0009897; GO:0010332; GO:0010536; GO:0019955; GO:0019981; GO:0032496; GO:0032729; GO:0032809; GO:0032816; GO:0042104; GO:0042164; GO:0042531; GO:0043235; GO:0043434; GO:0043514; GO:0045471; GO:0045519; GO:0048589; GO:0050671; GO:0051135; GO:0051384; GO:0051591; GO:0070102; GO:0070743,Membrane,Rattus norvegicus (Rat),Background Only
A0A0G2K8Y7,Tmcc3,GO:0016021,,Rattus norvegicus (Rat),Background Only
D3ZLE2,Tmcc3,GO:0016021,,Rattus norvegicus (Rat),Background Only
D3ZE75,Lrp8,GO:0005509; GO:0005875; GO:0005901; GO:0008035; GO:0014069; GO:0016020; GO:0016021; GO:0019894; GO:0021987; GO:0030229; GO:0030424; GO:0030425; GO:0042493; GO:0043025; GO:0043235; GO:0071363; GO:0071397,,Rattus norvegicus (Rat),Background Only
A0A096MJH3,Lss,,,Rattus norvegicus (Rat),Background Only
A0A096MK55,Lss,GO:0000250; GO:0005811; GO:0016104; GO:0042300,,Rattus norvegicus (Rat),Background Only
A0A096MK62,Lss,GO:0000250; GO:0005811; GO:0016104; GO:0042300,,Rattus norvegicus (Rat),Background Only
A0A0G2JVC8,Lss,GO:0000250; GO:0005811; GO:0006695; GO:0016104; GO:0031647; GO:0042300,,Rattus norvegicus (Rat),Background Only
P48450,Lss,GO:0000250; GO:0005789; GO:0005811; GO:0006695; GO:0016104; GO:0016125; GO:0042300; GO:0043231,Endoplasmic reticulum membrane,Rattus norvegicus (Rat),Background Only
G3V6N9,Egln3,GO:0001666; GO:0005506; GO:0005634; GO:0005829; GO:0006915; GO:0006919; GO:0018401; GO:0031418; GO:0031545; GO:0042127,,Rattus norvegicus (Rat),Background Only
Q62630,Egln3,GO:0005506; GO:0005634; GO:0005737; GO:0006915; GO:0006919; GO:0006974; GO:0016705; GO:0031418; GO:0042127; GO:0043523; GO:0051213,Nucleus; Cytoplasm,Rattus norvegicus (Rat),Background Only
A0A0H2UHB1,Hsd17b7,GO:0000253; GO:0005783; GO:0006695; GO:0007399; GO:0030154; GO:0048706,,Rattus norvegicus (Rat),Background Only
Q62904,Hsd17b7,GO:0000253; GO:0004303; GO:0005148; GO:0005783; GO:0005886; GO:0006695; GO:0006703; GO:0014070; GO:0016020; GO:0016021; GO:0021766; GO:0032355; GO:0042493; GO:0060135; GO:1990637,Cell membrane,Rattus norvegicus (Rat),Background Only
A0A0G2JW03,Lpin1,GO:0003713; GO:0005634; GO:0005741; GO:0008195; GO:0009062; GO:0019432; GO:0031100; GO:0032869; GO:0045944; GO:0120162,,Rattus norvegicus (Rat),Background Only
Q5XIM8,Lpin1,GO:0003713; GO:0005634; GO:0005741; GO:0008195; GO:0009062; GO:0019432; GO:0031100; GO:0032869; GO:0045944; GO:0120162,,Rattus norvegicus (Rat),Background Only
G3V7Q4,Ptpn12,GO:0002102; GO:0004725; GO:0005829; GO:0017124; GO:0042058; GO:0042246; GO:0071364,Cytoplasm,Rattus norvegicus (Rat),Background Only
Q63745,Ptpn12,GO:0004725; GO:0005829; GO:0042246,,Rattus norvegicus (Rat),Background Only
A0A0G2K6Z7,Vegfa,GO:0008083; GO:0008201; GO:0016020; GO:0120162,,Rattus norvegicus (Rat),Background Only
A0A0H2UHY5,Vegfa,GO:0008083; GO:0016020; GO:0120162,,Rattus norvegicus (Rat),Background Only
B5DEK7,Vegfa,GO:0008083; GO:0008201; GO:0016020; GO:0120162,,Rattus norvegicus (Rat),Background Only
F1M6X1,Vegfa,GO:0008083; GO:0008201; GO:0016020; GO:0120162,,Rattus norvegicus (Rat),Background Only
